"commodity_code","commodity_name","definition","methodological_notes","source"
"PALM_OIL","Palm oil, commodity price ($/mt, nominal $US)","Palm oil (Malaysia), from January 2021, refined, bleached, and deodorized (RBD), free on board (f.o.b.) Malaysia Ports; December 2001 to December 2020, refined, bleached, and deodorized (RBD), cost, insurance, and freight (c.i.f.) Rotterdam; previously Malaysia 5 percent, c.i.f. N.W. Europe, bulk, nearest forward.","Original Source: Markit Group Limited (formerly IHS Markit Agribusiness UK Ltd); Bloomberg; ISTA Mielke GmbH, Oil World; US Department of Agriculture; World Bank.","WB"
"PHOSROCK","Phosphate rock, commodity price ($/mt, nominal $US)","Phosphate rock , free on board (f.o.b.) North Africa.","Original Source: Bloomberg; Bloomberg L.P. - Green Markets (formerly Kennedy Information LLC).","WB"
"PLATINUM","Platinum, commodity price ($/troy oz, nominal $US)","Platinum (UK), 99.9 percent refined, London afternoon fixing.","Original Source: Bloomberg; London Platinum & Palladium Market; Platts Metals Week, CRB Commodity Yearbook; Thomson Reuters Datastream; World Bank.","WB"
"PLMKRNL_OIL","Palm kernel oil, commodity price ($/mt, nominal $US)","Palm kernel oil (Malaysia/Indonesia), from January 2021, crude cost, insurance, and freight (c.i.f.) Rotterdam; August 2001 to December 2020, crude, c.i.f. NW Europe; previously Malaysian, nearest forward.","Original Source: Markit Group Limited (formerly IHS Markit Agribusiness UK Ltd); Bloomberg; ISTA Mielke GmbH, Oil World; US Department of Agriculture; World Bank.","WB"
"PLYWOOD","Plywood, commodity price (cents/sheet, nominal $US)","Plywood (Africa and Southeast Asia), Lauan, 3-ply, extra, 91 cm x 182 cm x 4 mm, wholesale price, spot Tokyo.","Original Source: International Tropical Timber Organization; Japan Lumber Journal; Nikkei Newsletter on Commodities; World Bank.","WB"
"POTASH","Potassium chloride, commodity price ($/mt, nominal $US)","Potassium chloride (muriate of potash), Brazil CFR granular spot price from January 2020; previously free on board (f.o.b.) Vancouver.","Original Source: Bloomberg; Bloomberg L.P. - Green Markets (formerly Kennedy Information LLC).","WB"
"RAPESEED_OIL","Rapeseed oil, commodity price ($/mt, nominal $US)","Rapeseed oil, Dutch rapeseed oil, free on board (f.o.b.) Rotterdam",NA,"WB"
"RICE_05","Rice, Thai 5 percent, commodity price ($/mt, nominal $US)","Rice (Thailand), 5 percent broken, white rice (WR), milled, indicative price based on weekly surveys of export transactions, government standard, free on board (f.o.b.) Bangkok.","Original Source: Bloomberg; US Department of Agriculture; World Bank.","WB"
"RICE_05_VNM","Rice, Viet Namese 5 percent, commodity price ($/mt, nominal $US)","Rice (Vietnam), 5 percent broken, white rice (WR), milled, weekly indicative survey price, Minimum Export Price, free on board (f.o.b.) Hanoi.","Original Source: Bloomberg; US Department of Agriculture; World Bank.","WB"
"RICE_25","Rice, Thai 25 percent, commodity price ($/mt, nominal $US)","Rice (Thailand), 25 percent broken, white rice (WR), milled indicative survey price, government standard, free on board (f.o.b.) Bangkok.","Original Source: Bloomberg; US Department of Agriculture; World Bank.","WB"
"RICE_A1","Rice, Thai A.1, commodity price ($/mt, nominal $US)","Rice (Thailand), 100 percent broken, A.1 Super from 2006 onwards, government standard, free on board (f.o.b.) Bangkok; prior to 2006, A1 Special, a slightly lower grade than A1 Super.","Original Source: Bloomberg; US Department of Agriculture; World Bank.","WB"
"RUBBER_TSR20","Rubber, TSR20, commodity price ($/kg, nominal $US)","Rubber (Asia), TSR 20, Technically Specified Rubber, Singapore Exchange Ltd (SGX previously SICOM) nearby futures contract.","Original Source: Asian Wall Street Journal; Bloomberg; International Rubber Study Group; Rubber Association of Singapore Commodity Exchange (RASCE); Singapore Exchange Ltd (SGX previously SICOM); World Bank.","WB"
"RUBBER1_MYSG","Rubber, RSS3, commodity price ($/kg, nominal $US)","Rubber (Asia), RSS3 grade, Singapore Commodity Exchange Ltd (SICOM) nearby contract beginning 2004; during 2000 to 2003, Singapore RSS1; previously Malaysia RSS1.","Original Source: Asian Wall Street Journal; Bloomberg; International Rubber Study Group; Rubber Association of Singapore Commodity Exchange (RASCE); Singapore Exchange Ltd (SGX previously SICOM); World Bank.","WB"
"SAWNWD_CMR","Sawnwood, Cameroon, commodity price ($/cubic meter, nominal $US)","Sawnwood (Africa), sapele, width 6 inches or more, length 6 feet or more, f.a.s. Cameroonian ports.","Original Source: International Tropical Timber Organization; Marches Tropicaux et Mediterraneens; World Bank.","WB"
"SAWNWD_MYS","Sawnwood, Malaysian, commodity price ($/cubic meter, nominal $US)","Sawnwood (Southeast Asia), dark red seraya/meranti, select and better quality, average 7 to 8 inches; length average 12 to 14 inches; thickness 1 to 2 inch(es); kiln dry, c. & f. UK ports, with 5 percent agents commission including premium for products of certified sustainable forest beginning January 2005; previously excluding the premium.","Original Source: International Tropical Timber Organization; Tropical Timbers; World Bank.","WB"
"SHRIMP_MEX","Shrimp, commodity price ($/kg, nominal $US)","Shrimp (US), brown, shell-on, headless, in frozen blocks, source Gulf of Mexico, 26 to 30 count per pound, wholesale US beginning 2004; previously New York.","Original Source: Fishery Market News; Urner Barry; US Bureau of Labor Statistics; US National Oceanic and Atmospheric Administration (NOAA); World Bank.","WB"
"SILVER","Silver, commodity price ($/troy oz, nominal $US)","Silver (UK), 99.9 percent refined, London afternoon fixing; prior to July 1976 Handy & Harman. Grade prior to 1962 unrefined silver.","Original Source: American Metal Market; Australian Mineral Economics Pty. Ltd.; Bloomberg; London Bullion Market; Metals Week; Metals Statistics; Platts Metals Week; The Silver Institute, Silver World Supply & Demand; Thomson Reuters Datastream; World Bank.","WB"
"SORGHUM","Sorghum, commodity price ($/mt, nominal $US)","Sorghum (US), no. 2 milo yellow, Texas export bids for grain delivered to export elevators, rail-truck, free on board (f.o.b.) Gulf ports.","Original Source: US Department of Agriculture; World Bank.","WB"
"SOYBEAN_MEAL","Soybean meal, commodity price ($/mt, nominal $US)","Soybean meal, from January 2021, Soybean Pellets 48 percent Pro, Brazil, cost, insurance, and freight (c.i.f.) Rotterdam; January 1999 to December 2020, Brazilian pellets 48 percent protein, c.i.f. Rotterdam; during 1990 - 1998, 45/46 percent c.i.f. Rotterdam, nearest forward; previously US origin 44 percent.","Original Source: Markit Group Limited (formerly IHS Markit Agribusiness UK Ltd); Bloomberg; ISTA Mielke GmbH, Oil World; US Department of Agriculture; World Bank.","WB"
"SOYBEAN_OIL","Soybean oil, commodity price ($/mt, nominal $US)","Soybean oil, from January 2021, Dutch Soyoil Crude Degummed, Ex Works (EXW) Dutch Mills; January 1999 to December 2020, Dutch crude degummed, free on board (f.o.b.) NW Europe; previously crude, f.o.b. ex-mill Netherlands, nearest forward.","Original Source: Markit Group Limited (formerly IHS Markit Agribusiness UK Ltd); Bloomberg; ISTA Mielke GmbH, Oil World; US Department of Agriculture; World Bank.","WB"
"SOYBEANS","Soybeans, commodity price ($/mt, nominal $US)","Soybeans, from January 2021, U.S Gulf Yellow Soybean #2, cost, insurance, and freight (c.i.f.) Rotterdam; December 2007 to December 2020, US No. 2 yellow meal, c.i.f. Rotterdam; previously US origin, nearest forward.","Original Source: Markit Group Limited (formerly IHS Markit Agribusiness UK Ltd); Bloomberg; ISTA Mielke GmbH, Oil World; US Department of Agriculture; World Bank.","WB"
"SUGAR_EU","Sugar, EU, commodity price ($/kg, nominal $US)","Sugar (EU), European Union negotiated import price for raw unpackaged sugar from African, Caribbean and Pacific (ACP) under Lome Conventions, cost, insurance, and freight (CIF). European ports.","Original Source: International Monetary Fund; World Bank.","WB"
"SUGAR_US","Sugar, US, commodity price ($/kg, nominal $US)","Sugar (US), nearby futures contract, cost, insurance, and freight (c.i.f.).","Original Source: Bloomberg, World Bank.","WB"
"SUGAR_WLD","Sugar, world, commodity price ($/kg, nominal $US)","Sugar (World), International Sugar Agreement (ISA) daily price, raw, free on board (f.o.b.) and stowed at greater Caribbean ports.","Original Source: Bloomberg; International Sugar Organization; Thomson Reuters Datastream; World Bank.","WB"
"SUNFLOWER_OIL","Sunflower oil, commodity price ($/mt, nominal $US)","Sunflower oil, from September 2020, Dutch Sunseed Oil, free on board (f.o.b.) Rotterdam; February 2011 to August 2020, European crude, f.o.b. Rotterdam; previously, EU f.o.b NW Europe ports.","Original Source: Markit Group Limited (formerly IHS Markit Agribusiness UK Ltd); Bloomberg; ISTA Mielke GmbH, Oil World; US Department of Agriculture; World Bank.\.","WB"
"TEA_AVG","Tea, average three auctions, commodity price ($/kg, nominal $US)","Tea , average three auctions, arithmetic average of quotations at Kolkata, Colombo and Mombasa/Nairobi.","Original Source: World Bank.","WB"
"TEA_COLOMBO","Tea, Colombo, commodity price ($/kg, nominal $US)","Tea (Colombo auctions), Sri Lankan origin, all tea, arithmetic average of weekly quotes.","Original Source: International Tea Committee; Tea Broker's Association of London; Tea Exporters Association Sri Lanka; World Bank.","WB"
"TEA_KOLKATA","Tea, Kolkata, commodity price ($/kg, nominal $US)","Tea (Kolkata auctions), leaf, include excise duty, arithmetic average of weekly quotes.","Original Source: International Tea Committee; Tea Board India; Tea Broker's Association of London; World Bank.","WB"
"TEA_MOMBASA","Tea, Mombasa, commodity price ($/kg, nominal $US)","Tea (Mombasa/Nairobi auctions), African origin, all tea, arithmetic average of weekly quotes.","Original Source: African Tea Brokers Limited; International Tea Committee; Tea Broker's Association of London; World Bank.","WB"
"Tin","Tin, commodity price ($/mt, nominal $US)","Tin (LME), refined, 99.85 percent purity, settlement price.","Original Source: Bloomberg; Engineering and Mining Journal; Platts Metals Week; Thomson Reuters Datastream; World Bank.","WB"
"TOBAC_US","Tobacco, US import u.v., commodity price ($/mt, nominal $US)","Tobacco (any origin), unmanufactured, general import, cost, insurance, and freight (c.i.f.), US.","Original Source: US Department of Agriculture, World Bank.","WB"
"TSP","Triple superphosphate (TSP), commodity price ($/mt, nominal $US)","TSP (triple superphosphate), spot, import US Gulf.","Original Source: Bloomberg; Bloomberg L.P. - Green Markets (formerly Kennedy Information LLC).","WB"
"UREA_EE_BULK","Urea, commodity price ($/mt, nominal $US)","Urea, (Ukraine), prill spot free on board (f.o.b.) Middle East, beginning March 2022; previously, f.o.b. Black Sea.","Original Source: Bloomberg; Bloomberg L.P. - Green Markets (formerly Kennedy Information LLC).","WB"
"WHEAT_US_HRW","Wheat, US HRW, commodity price ($/mt, nominal $US)","Wheat (US), no. 2 hard red winter Gulf export price; June 2020 backwards, no. 1, hard red winter, ordinary protein, export price delivered at the US Gulf port for prompt or 30 days shipment.","Original Source: Bloomberg; US Department of Agriculture; World Bank.","WB"
"WHEAT_US_SRW","Wheat, US SRW, commodity price ($/mt, nominal $US)","Wheat (US), no. 2, soft red winter, export price delivered at the US Gulf port for prompt or 30 days shipment.","Original Source: Bloomberg; US Department of Agriculture; World Bank.","WB"
"Zinc","Zinc, commodity price ($/mt, nominal $US)","Zinc (LME), high grade, minimum 99.95 percent purity, settlement price beginning April 1990; previously special high grade, minimum 99.995 percent, cash prices.","Original Source: Bloomberg; Engineering and Mining Journal; Platts Metals Week; Thomson Reuters Datastream; World Bank.","WB"
